"TOA5","HVL","CR1000","E11924","CR1000.Std.16","CPU:Promice2015e.CR1","65241","TxBufferTable"
"TIMESTAMP","RECORD","TxBufferString"
"TS","RN",""
"","","Smp"
"2020-10-24 01:00:00",5171,"'2020-10-24 01:00:00',887,-1.265,38.64,71.94,2.815,260.1,-2.034,0.66,-38.69,-3.306,-1.625,'!S'  "
"2020-10-24 02:00:00",5172,"'2020-10-24 02:00:00',886,-0.879,39.06,68.81,1.883,262.7,-0.99,0.77,-23.23,-3.042,-1.243,'!S'  "
"2020-10-24 03:00:00",5173,"'2020-10-24 03:00:00',886,-1.605,38.54,78.07,0.755,110,-1.484,-0.33,-10.13,-0.628,-1.551,'!S'  "
"2020-10-24 04:00:00",5174,"'2020-10-24 04:00:00',886,-2.342,37.68,90.1,0.879,224.6,-0.715,0.88,-2.513,2.215,-2.587,'!S'  "
"2020-10-24 05:00:00",5175,"'2020-10-24 05:00:00',886,-2.398,37.68,93.3,0.556,198.3,-0.605,0.495,-0.182,2.166,-2.531,'!S'  "
"2020-10-24 06:00:00",5176,"'2020-10-24 06:00:00',886,-1.807,38.13,92.7,1.406,243.1,-0.77,0.99,-0.182,0.463,-2.216,'!S',2.674,NAN,NAN,NAN,-109,NAN,-109,NAN,-109,-109,-109,-0.607,0.976,'GT035812.00','NH6133.52138','EH00747.77591','993.4','0.69',124.6,12.69,-114.1,-1.71,92.1,0.801,277.3,'!I'  "
"2020-10-24 07:00:00",5177,"'2020-10-24 07:00:00',886,-1.314,38.63,90,0.767,154.4,-0.77,0.99,-0.198,0.05,-1.835,'!S'  "
"2020-10-24 08:00:00",5178,"'2020-10-24 08:00:00',885,-1.171,38.82,89.4,0.532,332.9,-0.385,0.989,-0.182,0,-1.59,'!S'  "
"2020-10-24 09:00:00",5179,"'2020-10-24 09:00:00',885,-0.754,39.18,88.1,1.681,235.2,5.222,4.067,-0.182,0.099,-1.239,'!S'  "
"2020-10-24 10:00:00",5180,"'2020-10-24 10:00:00',886,-1.362,38.81,91.3,1.111,164.9,42.87,24.68,-0.132,-0.992,-0.987,'!S'  "
"2020-10-24 11:00:00",5181,"'2020-10-24 11:00:00',886,-0.865,39.29,91.5,1.121,275.3,112,63.42,-0.281,-2.182,-0.357,'!S'  "
"2020-10-24 12:00:00",5182,"'2020-10-24 12:00:00',887,-0.24,40.05,88.7,2.105,244.2,239.3,139.9,-49.75,-8.38,0.434,'!S',2.665,NAN,NAN,NAN,NAN,-102.9,-102.9,-102.9,-102.9,-109,NAN,-0.596,0.962,'GT095813.00','NH6133.52099','EH00747.77547','993.0','0.97',127.7,13.18,-113.5,0.313,87.2,2.868,259.9,'!I'  "
"2020-10-24 13:00:00",5183,"'2020-10-24 13:00:00',887,-0.229,40.14,88.1,1.268,197.9,183,84.4,-20.38,-5.173,1.078,'!S'  "
"2020-10-24 14:00:00",5184,"'2020-10-24 14:00:00',886,0.681,40.87,86.7,1.653,264.3,261.5,106.6,-52.64,-5.95,1.264,'!S'  "
"2020-10-24 15:00:00",5185,"'2020-10-24 15:00:00',886,1.226,41.39,82.9,2.441,269.1,199.3,66.17,-51.5,-6.264,1.754,'!S'  "
"2020-10-24 16:00:00",5186,"'2020-10-24 16:00:00',886,1.504,41.58,78.92,3.132,258,151.3,46.55,-53.25,-6.214,1.659,'!S'  "
"2020-10-24 17:00:00",5187,"'2020-10-24 17:00:00',885,1.695,41.75,74.94,1.982,189.4,64.52,19.4,-42.9,-7.024,1.663,'!S'  "
"2020-10-24 18:00:00",5188,"'2020-10-24 18:00:00',886,1.209,41.24,80.8,0.923,77.34,10.66,3.517,-22.84,-4.628,1.029,'!S',2.659,NAN,NAN,-109,NAN,-109,NAN,-109,-109,-109,NAN,-0.603,0.973,'GT155813.00','NH6133.52127','EH00747.77618','990.0','0.91',129.1,13.01,-114.5,1.48,78.69,0.691,341.6,'!I'  "
"2020-10-24 19:00:00",5189,"'2020-10-24 19:00:00',885,1.449,41.35,76.7,2.556,266.9,-0.44,0.769,-16.08,-4.066,0.977,'!S'  "
"2020-10-24 20:00:00",5190,"'2020-10-24 20:00:00',884,1.425,41.39,77.18,5.09,249.8,-3.023,0.824,-12.25,-4.71,1.183,'!S'  "
"2020-10-24 21:00:00",5191,"'2020-10-24 21:00:00',884,1.445,41.43,77.96,5.616,236.7,-4.177,1.319,-12.54,-4.908,1.285,'!S'  "
"2020-10-24 22:00:00",5192,"'2020-10-24 22:00:00',884,0.886,40.94,86.5,2.942,259,-3.847,1.978,-5.256,-1.355,0.466,'!S'  "
"2020-10-24 23:00:00",5193,"'2020-10-24 23:00:00',884,1.286,41.16,85.4,2.064,241.8,-2.198,2.363,-4.925,-0.744,0.392,'!S'  "
"2020-10-25 00:00:00",5194,"'2020-10-25 00:00:00',883,2.141,42,77.68,1.784,263.3,-1.868,3.737,-6.462,-2.595,0.91,'!S',2.658,NAN,NAN,-109,-109,-109,-109,-109,-109,-109,-109,-0.6,0.969,'GT215812.00','NH6133.52106','EH00747.77450','993.2','0.73',126.9,12.75,-116.8,2.294,76.14,1.524,117.1,'!I'  "
"2020-10-25 01:00:00",5195,"'2020-10-25 01:00:00',882,2.849,42.69,73.75,4.299,287.5,-3.077,4.122,-6.743,-6.016,1.897,'!S'  "
"2020-10-25 02:00:00",5196,"'2020-10-25 02:00:00',881,2.759,42.71,78.57,5.728,262.7,-2.693,3.737,-6.148,-5.884,2.03,'!S'  "
"2020-10-25 03:00:00",5197,"'2020-10-25 03:00:00',880,3.749,43.62,75.26,7.017,251,-0.879,3.023,-9.47,-8.36,2.971,'!S'  "
"2020-10-25 04:00:00",5198,"'2020-10-25 04:00:00',878,4.555,44.48,72.68,5.369,237,-3.352,2.803,-8.3,-8.28,3.472,'!S'  "
"2020-10-25 05:00:00",5199,"'2020-10-25 05:00:00',877,5.57,45.35,70.35,3.583,179.9,-3.242,5.275,-7.271,-8.39,3.983,'!S'  "
"2020-10-25 06:00:00",5200,"'2020-10-25 06:00:00',876,4.947,44.91,74.79,3.725,228.8,-3.352,4.066,-5.767,-7.072,3.828,'!S',2.645,NAN,NAN,-102.9,NAN,-109,NAN,-109,NAN,NAN,NAN,-0.593,1.03,'GT035813.00','NH6133.52157','EH00747.77663','995.0','0.69',122.9,12.72,-124.5,4.648,76.5,4.701,191.1,'!I'  "
"2020-10-25 07:00:00",5201,"'2020-10-25 07:00:00',875,4.794,44.67,78.8,4.639,261.5,-1.923,3.077,-5.453,-5.354,3.678,'!S'  "
"2020-10-25 08:00:00",5202,"'2020-10-25 08:00:00',875,4.332,44.33,86.7,1.956,340.1,-0.055,2.088,-4.792,-5.139,3.499,'!S'  "
"2020-10-25 09:00:00",5203,"'2020-10-25 09:00:00',874,4.947,44.95,83.5,2.67,103.3,-0.22,2.747,-6.51,-5.899,4.021,'!S'  "
"2020-10-25 10:00:00",5204,"'2020-10-25 10:00:00',874,6.708,46.39,70.76,3.601,358.4,10.05,4.176,-12.33,-9.29,5.459,'!S'  "
"2020-10-25 11:00:00",5205,"'2020-10-25 11:00:00',874,6.157,46.12,73.09,3.513,348.7,49.56,6.813,-21.15,-9.24,5.594,'!S'  "
"2020-10-25 12:00:00",5206,"'2020-10-25 12:00:00',875,5.278,45.26,80.2,2.83,85.6,55.38,6.264,-15.71,-6.362,4.912,'!S',2.647,NAN,NAN,-109,-109,-109,-109,-109,-109,NAN,-109,-0.678,0.698,'GT095813.00','NH6133.52072','EH00747.77639','990.9','0.98',125.7,12.73,-124.5,4.063,89.6,6.218,76.46,'!I'  "
"2020-10-25 13:00:00",5207,"'2020-10-25 13:00:00',876,2.84,42.93,96.1,5.473,61.18,45.33,5.11,-1.999,-0.43,2.855,'!S'  "
"2020-10-25 14:00:00",5208,"'2020-10-25 14:00:00',877,2.337,42.39,97.3,3.744,108.9,60.5,6.264,-4.313,0.925,2.372,'!S'  "
"2020-10-25 15:00:00",5209,"'2020-10-25 15:00:00',877,1.914,41.98,96.9,4.916,45.57,46,4.781,-2.264,1.19,1.872,'!S'  "
"2020-10-25 16:00:00",5210,"'2020-10-25 16:00:00',878,1.681,41.71,97.4,3.939,100.1,85,9.62,-2.925,2.248,1.704,'!S'  "
"2020-10-25 17:00:00",5211,"'2020-10-25 17:00:00',879,1.483,41.56,97.4,3.536,73.68,19.73,2.253,-2.264,0.843,1.48,'!S'  "
"2020-10-25 18:00:00",5212,"'2020-10-25 18:00:00',880,1.247,41.24,97.8,3.056,83.6,5.715,0.769,-12.23,0.76,1.144,'!S',2.658,NAN,NAN,-109,-102.9,-102.9,-102.9,-102.9,-109,NAN,NAN,-0.583,0.993,'GT155812.00','NH6133.52123','EH00747.77456','990.4','0.92',123.4,12.71,-119.9,1.355,97.9,2.576,118.9,'!I'  "
"2020-10-25 19:00:00",5213,"'2020-10-25 19:00:00',880,1.411,41.29,97,1.973,139.3,-1.319,0.659,-17.07,0.149,1.012,'!S'  "
"2020-10-25 20:00:00",5214,"'2020-10-25 20:00:00',881,2.001,41.81,85.5,2.794,89.9,-1.923,1.044,-20.46,-0.959,1.218,'!S'  "
"2020-10-25 21:00:00",5215,"'2020-10-25 21:00:00',881,2.012,41.85,80.7,2.975,69.01,-3.627,1.814,-51.7,-4.099,1.204,'!S'  "
"2020-10-25 22:00:00",5216,"'2020-10-25 22:00:00',881,2.86,42.66,64.09,3.594,61.77,-4.341,1.923,-85.1,-8.41,1.852,'!S'  "
"2020-10-25 23:00:00",5217,"'2020-10-25 23:00:00',881,2.519,42.43,67.01,3.275,70.06,-5.495,1.539,-112.2,-9.88,1.782,'!S'  "
"2020-10-27 00:00:00",5218,"'2020-10-27 00:00:00',883,3.526,43.54,59.15,3.582,331.1,88.7,16.7,-52.58,-5.783,3.518,'!W',2.653,NAN,4.002,-109,-109,-109,NAN,-109,NAN,-109,NAN,-0.576,1.003,'GT215812.00','NH6133.52107','EH00747.77588','992.9','0.71',120.4,13.06,-117.1,3.147,69.94,4.166,253.7,'!I'  "
"2020-10-28 00:00:00",5219,"'2020-10-28 00:00:00',881,2.662,42.63,73.87,3.58,261.7,36.85,5.527,-41.34,-4.716,2.475,'!W',2.657,NAN,NAN,NAN,NAN,-109,-109,-102.9,-109,-102.9,-109,-0.586,0.949,'GT215812.00','NH6133.52052','EH00747.77604','992.7','0.71',124.5,12.93,-120.7,2.001,75.26,4.193,282.1,'!I'  "
"2020-10-29 00:00:00",5220,"'2020-10-29 00:00:00',878,2.425,42.38,74.7,3.573,284.9,44.45,8.16,-32.24,-3.122,2.132,'!W',2.659,NAN,NAN,-109,NAN,-109,NAN,-109,NAN,-109,-109,-0.607,0.966,'GT215812.00','NH6133.52086','EH00747.77491','992.5','0.74',123.6,12.96,-121.1,1.418,91.3,0.597,64.77,'!I'  "
"2020-10-30 00:00:00",5221,"'2020-10-30 00:00:00',886,0.91,40.93,96.4,2.526,99.7,19.39,2.894,-6.07,0.869,0.783,'!W',2.665,NAN,NAN,-102.9,-102.9,-109,-109,NAN,NAN,NAN,-109,-0.603,0.983,'GT215811.00','NH6133.52084','EH00747.77583','991.6','0.74',119.6,12.83,-105.7,-0.417,81.7,3.744,236.8,'!I'  "
"2020-10-31 00:00:00",5222,"'2020-10-31 00:00:00',894,1.507,41.54,77.48,3.563,240.9,49.03,11.35,-60.51,-5.612,1.162,'!W',2.655,NAN,NAN,-109,-109,-102.9,-102.9,-102.9,-109,NAN,NAN,-0.62,0.884,'GT215811.00','NH6133.52092','EH00747.77558','992.7','0.74',133.3,13.02,-103,2.168,98.2,1.18,48.21,'!I'  "
"2020-11-01 00:00:00",5223,"'2020-11-01 00:00:00',898,2.42,42.43,76.58,3.299,230.7,59.36,11.41,-53.64,-4.171,2.218,'!W',2.644,NAN,6.728,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.542,1.074,'GT215811.00','NH6133.52127','EH00747.77697','993.0','0.74',122.5,13.04,-109.7,4.793,65.92,4.475,120.3,'!I'  "
