"TOA5","CR1000","CR1000","E11924","CR1000.Std.16","CPU:Promice2015e.CR1","65241","TxBufferTable"
"TIMESTAMP","RECORD","TxBufferString"
"TS","RN",""
"","","Smp"
"2020-05-02 13:00:00",983,"'2020-05-02 13:00:00',887,-0.049,40.46,93.7,1.812,35.39,436.3,351.9,-10.89,-9.83,2.082,'!S'  "
"2020-05-02 14:00:00",984,"'2020-05-02 14:00:00',888,-0.108,40.37,94.2,2.089,74.17,418,328.3,-9.72,-8.84,1.897,'!S'  "
"2020-05-02 15:00:00",985,"'2020-05-02 15:00:00',888,-0.083,40.45,94.8,2.798,23.32,406.4,315.7,-7.652,-7.073,1.6,'!S'  "
"2020-05-02 16:00:00",986,"'2020-05-02 16:00:00',889,-0.052,40.5,95.4,3.386,68.91,359.3,277.9,-8.84,-6.148,1.425,'!S'  "
"2020-05-02 17:00:00",987,"'2020-05-02 17:00:00',889,0.115,40.74,95.7,2.477,56.8,382.9,293.8,-10.28,-7.834,1.848,'!S'  "
"2020-05-02 18:00:00",988,"'2020-05-02 18:00:00',890,0.302,40.96,95.5,2.879,44.51,367.1,270.8,-11.49,-9.09,2.17,'!S',2.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.508,1.03,'GT155837.00','NH6133.52156','EH00747.77672','992.5','0.80',143.8,14.14,-109.8,0.333,95.5,2.384,56.35,'!I'  "
"2020-05-02 19:00:00",989,"'2020-05-02 19:00:00',890,0.424,40.88,96.5,2.137,60.82,260,187.4,-12.53,-8.1,1.918,'!S'  "
"2020-05-02 20:00:00",990,"'2020-05-02 20:00:00',890,0.236,40.39,98.2,3.082,64.4,85.7,62.59,-7.9,-2.33,0.55,'!S'  "
"2020-05-02 21:00:00",991,"'2020-05-02 21:00:00',891,0.347,40.4,98.9,2.601,21.28,25.72,19.01,-1.372,-1.587,0.427,'!S'  "
"2020-05-02 22:00:00",992,"'2020-05-02 22:00:00',892,0.219,40.22,99.3,3.388,46.45,5.001,3.847,-5.355,-0.611,0.168,'!S'  "
"2020-05-02 23:00:00",993,"'2020-05-02 23:00:00',892,0.003,39.99,99.4,2.883,59.23,-0.275,0,-3.471,0,-0.046,'!S'  "
"2020-05-03 00:00:00",994,"'2020-05-03 00:00:00',892,-0.122,39.88,99.4,2.677,60.24,-0.769,-0.769,-2.413,-0.099,-0.14,'!S',2.316,NAN,NAN,-109,-109,-109,-109,NAN,-109,-109,-109,-0.579,0.945,'GT215837.00','NH6133.52094','EH00747.77645','992.6','0.90',132.1,13.3,-107.9,-0.271,99.4,2.573,61.09,'!I'  "
"2020-05-03 01:00:00",995,"'2020-05-03 01:00:00',893,-0.372,39.68,99.4,1.288,74.53,-1.484,0.44,-18.91,-0.496,-0.557,'!S'  "
"2020-05-03 02:00:00",996,"'2020-05-03 02:00:00',893,-0.365,39.62,99.4,1.275,23.07,-0.385,0.22,-6.346,0.116,-0.508,'!S'  "
"2020-05-03 03:00:00",997,"'2020-05-03 03:00:00',893,-0.532,39.46,99.4,1.355,64.74,-0.659,0.659,-11.37,-0.347,-0.76,'!S'  "
"2020-05-03 04:00:00",998,"'2020-05-03 04:00:00',893,-0.507,39.43,99.4,1.984,57.37,-0.055,0,-1.487,0.43,-0.676,'!S'  "
"2020-05-03 05:00:00",999,"'2020-05-03 05:00:00',894,-0.674,39.31,99.4,2.15,98.1,0.165,0.275,-2.182,0.645,-0.763,'!S'  "
"2020-05-03 06:00:00",1000,"'2020-05-03 06:00:00',894,-0.612,39.29,99.4,1.857,44.17,9.34,7.529,-1.487,0.562,-0.763,'!S',2.318,NAN,NAN,-109,-109,-109,-109,-109,-109,NAN,NAN,-0.607,0.925,'GT035836.00','NH6133.52072','EH00747.77520','991.9','0.90',128.3,12.81,-105.8,-0.584,99.4,2.351,351.3,'!I'  "
"2020-05-03 07:00:00",1001,"'2020-05-03 07:00:00',894,-0.792,39.19,99.4,2.995,76.29,50.67,39.51,-2.71,0.116,-0.753,'!S'  "
"2020-05-03 08:00:00",1002,"'2020-05-03 08:00:00',894,-0.924,39.13,99.4,3.084,74.39,94.1,76.99,-2.446,-0.496,-0.728,'!S'  "
"2020-05-03 09:00:00",1003,"'2020-05-03 09:00:00',894,-0.941,39.39,98.3,4.076,59,250,199.9,-7.04,-2.611,-0.196,'!S'  "
"2020-05-03 10:00:00",1004,"'2020-05-03 10:00:00',895,-0.632,40.07,95.5,3.995,59.34,545.5,413.4,-23.67,-7.321,1.191,'!S'  "
"2020-05-03 11:00:00",1005,"'2020-05-03 11:00:00',895,-0.41,40.65,92.8,2.601,7.454,582.9,427.6,-29.5,-14.03,2.913,'!S'  "
"2020-05-03 12:00:00",1006,"'2020-05-03 12:00:00',896,0.087,41.12,90.6,1.853,359.2,658.1,471.1,-57.05,-19.63,3.966,'!S',2.311,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.593,0.932,'GT095836.00','NH6133.52038','EH00747.77580','991.3','0.72',147.5,14.26,-103.8,0.167,89.7,1.446,280.6,'!I'  "
"2020-05-03 13:00:00",1007,"'2020-05-03 13:00:00',896,0.798,42.16,83.1,1.218,359.1,782.7,558.4,-96.8,-39.13,8.33,'!S'  "
"2020-05-03 14:00:00",1008,"'2020-05-03 14:00:00',896,0.957,41.76,83.8,1.33,7.311,616.9,439.6,-96.8,-30.14,6.231,'!S'  "
"2020-05-03 15:00:00",1009,"'2020-05-03 15:00:00',897,-0.351,40.26,84.8,3.728,45.83,441.6,320.6,-27.64,-12.31,1.945,'!S'  "
"2020-05-03 16:00:00",1010,"'2020-05-03 16:00:00',897,0.218,41.44,79.97,1.667,242.9,783.5,589.6,-98.7,-35.35,6.826,'!S'  "
"2020-05-03 17:00:00",1011,"'2020-05-03 17:00:00',897,0.725,41.97,68.18,1.371,7.096,658.6,494.1,-103.1,-32.88,6.165,'!S'  "
"2020-05-03 18:00:00",1012,"'2020-05-03 18:00:00',897,0.735,41.73,66.27,0.832,232.1,394,287.9,-63.08,-32.5,6.465,'!S',2.337,NAN,0.14,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.61,0.911,'GT155835.00','NH6133.52162','EH00747.77460','993.0','0.80',140.8,14.08,-102.7,0.583,65.38,0.69,246.7,'!I'  "
"2020-05-03 19:00:00",1013,"'2020-05-03 19:00:00',897,-0.726,39.81,78.93,2.377,110,216.8,162.3,-20.9,-9.34,0.668,'!S'  "
"2020-05-03 20:00:00",1014,"'2020-05-03 20:00:00',898,-0.708,39.66,78.88,1.339,25.3,184.3,136.8,-28.64,-11.22,0.655,'!S'  "
"2020-05-03 21:00:00",1015,"'2020-05-03 21:00:00',898,-1.476,38.63,92.4,1.08,41.39,47.76,36.93,-7.073,-3.917,-1.029,'!S'  "
"2020-05-03 22:00:00",1016,"'2020-05-03 22:00:00',898,-1.855,38.19,88.7,1.352,319.6,9.95,9.56,-6.148,-2.892,-1.852,'!S'  "
"2020-05-03 23:00:00",1017,"'2020-05-03 23:00:00',899,-1.981,37.91,79.16,1.532,263.4,-1.099,1.594,-8.6,-3.157,-2.514,'!S'  "
"2020-05-04 00:00:00",1018,"'2020-05-04 00:00:00',899,-2.134,37.71,71.91,1.534,124.5,-4.343,1.814,-50.97,-15.09,-3.025,'!S',2.331,NAN,NAN,-273.2,-273.2,-109,-109,-109,-102.9,-109,-109,-0.569,0.98,'GT215835.00','NH6133.52103','EH00747.77610','992.4','0.92',129,13.32,-101.4,-2.607,66.1,1.248,189.8,'!I'  "
"2020-05-04 01:00:00",1019,"'2020-05-04 01:00:00',899,-2.757,37.07,68.28,1.111,178.6,-2.859,1.924,-56.66,-12.51,-3.628,'!S'  "
"2020-05-04 02:00:00",1020,"'2020-05-04 02:00:00',900,-3.265,36.57,65.44,2.087,188.5,-1.979,1.264,-51.98,-9.29,-3.951,'!S'  "
"2020-05-04 03:00:00",1021,"'2020-05-04 03:00:00',900,-3.164,36.77,68.59,1.316,99,-4.508,2.034,-91.3,-16.57,-3.966,'!S'  "
"2020-05-04 04:00:00",1022,"'2020-05-04 04:00:00',900,-3.905,36,68.97,1.913,229.2,-5.168,1.155,-102.5,-19.66,-4.681,'!S'  "
"2020-05-04 05:00:00",1023,"'2020-05-04 05:00:00',900,-4.57,35.32,68.52,2.464,216.2,-3.959,1.814,-102,-20.34,-5.287,'!S'  "
"2020-05-04 06:00:00",1024,"'2020-05-04 06:00:00',901,-4.834,35.09,69,3.896,212.5,28.21,21.56,-51.59,-7.276,-5.196,'!S',2.334,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-109,NAN,-0.631,0.993,'GT035835.00','NH6133.52083','EH00747.77454','990.8','0.91',130,12.82,-99.3,-3.902,69.63,3.495,189.4,'!I'  "
"2020-05-04 07:00:00",1025,"'2020-05-04 07:00:00',901,-4.096,36.01,69.13,1.52,201.8,124.8,87.8,-41.52,-9.47,-3.651,'!S'  "
